Ship Bottom Brewery,"18" Imperial IPA 2,cBLTUw,American-Style Imperial Stout,11.1,
Boothbay Craft Brewery Inc,"633" American Pale Ale,ZsQEJt,American-Style Pale Ale,6.33,25
Milwaukee Brewing Company,"Admiral" Stache,tmEthz,Baltic-Style Porter,7,23
La Verne Brewing Co.,"B" Street Pineapple Blonde,UM8GL6,Golden or Blonde Ale,4.6,
Working Man Brewing Company,"California Crude" Black IPA,wRmmdv,American-Style Black Ale,7.6,80
Working Man Brewing Company,"C’est Noir" Imperial Stout,EPYNpW,British-Style Imperial Stout,10.8,70
Working Man Brewing Company,"EVL1" Imperial Red Ale,c5pZg5,Imperial Red Ale,10.4,64
Dust Bowl Brewing Company,"Galactic Wrath" IPA,xBKAka,American-Style India Pale Ale,7.5,75
Urban Legend Brewing Company,"God Country" Kolsch,Hr5A0t,German-Style Kölsch / Köln-Style Kölsch,5.6,28.2
Coal Creek TAP,"Hey Victor" Smoked Porter,UjFyXJ,Smoke Beer (Lager or Ale),5.5,
Working Man Brewing Company,"Ignition" IPA,5UcMBc,American-Style India Pale Ale,6.6,45
Wrecking Bar Brewpub,"Jemmy Dean" Breakfast Stout,54rSgo,Sweet or Cream Stout,,
Mother Earth Brew Company,"Mauvaises Choses",JsKjkk,Belgian-Style Pale Strong Ale,7,30
10 Barrel Brewing Company,"Mike Saw a Sasquatch" Session Ale,b7WWL6,Golden or Blonde Ale,4.7,26
Dickersbach Brewing Company,"My" Bock,HXmS9k,Traditional German-Style Bock,6,
Cocoa Beach Brewing Company,"Not Just Some" Oatmeal Stout,giqbO2,Oatmeal Stout,,
13 Virtues Brewing Co,"Ray Brown" Porter,HZ9xM2,Brown Porter,5.8,30
Old Mill Brewpub,"Small Batch" Hazelwood Farmhouse IPA,Gb2aAs,French & Belgian-Style Saison,6,
Working Man Brewing Company,"Sneaky Devil" Double IPA,TAtY2B,Imperial or Double India Pale Ale,7.8,80
Vertigo Brewing,"SuperDude!" Barrel-Aged Russian Imperial Stout,Dj5OOw,Wood- and Barrel-Aged Strong Beer,10,50
Great Baraboo Brewing Company,"The Great Boo" Pumpkin Ale,VnoFfW,Pumpkin Beer,5.3,
Tomoka Brewery,"The King" Imperial Elvis Peanut Butter Banana Sandwich Brown Ale,o9CdUe,Specialty Beer,8.2,25
Breakside Brewery,"Thick Witted" Kaffir Double Wit,1qDm69,Belgian-Style White (or Wit) / Belgian-Style Wheat,6.7,25
North High Brewing,"Thunderkissed" Coffee Infused Milk Stout,dXHJTS,Coffee-Flavored Beer,5.3,20
Working Man Brewing Company,"Whistleblower" Belgian Wit,K83yUU,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.2,28
Wormtown Brewery,"Wintah" Ale,S4DA2h,American-Style Brown Ale,6,24
Nøgne Ø,# 100,2toTiw,Scottish-Style Light Ale,10,80
Nøgne Ø,# 500,vX0d37,Imperial or Double India Pale Ale,10,
Rhinegeist,#007,BVvaGP,American-Style Pale Ale,5.3,
Black Hog Brewing Company,#1 Brown Brett Braggot,WfTRD1,Braggot,6,18
Hi-Fi Brewing Co.,#1 Fan,QR1aJr,Fruit Wheat Ale or Lager with or without Yeast,6.8,30
Black Hog Brewing Company,#2 Brett Golden Sour,uLkd3a,Golden or Blonde Ale,6.5,9
One Barrel Brewing,#2 Strong Ale,Z7tz1C,Strong Ale,10,24
Wiley Roots Brewing Company,#34 Oatmeal Stout,EVWmiT,Oatmeal Stout,5.2,
Minocqua Brewing Company,#40 Golden Lager,PvaOWz,,,
Listermann Brewing Company,#42 Cream Ale,Rcmeki,American-Style Cream Ale or Lager,,
Big Choice Brewing,#42 Poblano Stout,p0CM7c,American-Style Stout,5.7,13.9
Galaxy Brewing Company,#42 ESB,BZV3No,Extra Special Bitter,6.7,
Victory Brewing Company,#429 Red IPA,6VZsVo,American-Style India Pale Ale,7.1,
Magic Hat Brewing Company,#9,hB0QeO,American-Style Pale Ale,5.1,20
Salty Nut Brewery,#busted Nut Brown Ale,8GpObe,English-Style Brown Ale,,
Ohana Brewing Co,#Hashtag Hops IPA,QWkRz9,American-Style India Pale Ale,7,71
Haw River Farmhouse Ales,#NOHOLDSIE Holdsie Da Deuce,zrbNet,Belgian-Style Tripel,8.2,
Haw River Farmhouse Ales,#NOHOLDSIE Holdsie San,EV2zxl,Belgian-Style Tripel,8.2,
Carton Brewing Co,#SS2012,QwmAOE,Imperial or Double India Pale Ale,8.4,
Haw River Farmhouse Ales,#‎NOHOLDSIE‬ Holdsie Uno,cBKBoK,Belgian-Style Tripel,8.2,
Dry Ground Brewing Co.,'37 Flood,Dk2xuM,American-Style India Pale Ale,6.6,66
Titletown Brewing,'400' Honey Ale,sVIbQO,Golden or Blonde Ale,4,
13 Virtues Brewing Co,'77 Stout,kq3Bxm,American-Style Stout,7.7,40
Thunder Canyon Brewery,'A' Mountain Red,u8frJ3,American-Style Amber/Red Ale,,
Crabby Larry's Brewpub Steak & Crab House,'Bombs Away' Double IPA,R1KUhf,Imperial or Double India Pale Ale,11.5,
Country Boy Brewing,'Heifer' Weizen,DOc9Bw,South German-Style Hefeweizen / Hefeweissbier,5.2,
Smartmouth Brewing Company,'Inappropriate' Cream Ale,35lHUq,American-Style Cream Ale or Lager,5.3,18
Perrin Brewing Company,'Lil Griz,ZQzj1u,American-Style Brown Ale,6.8,34
Jekyll Brewing,'Merican,7WoDkH,American-Style Amber/Red Ale,5.8,
Unruly Brewery,'Murican Brown Rye,r9lPS8,Rye Ale or Lager with or without Yeast,6,
Sierra Nevada Brewing Company,'Murican Pilsner,c4f2KE,American-Style Pilsener,5.5,
Scheldebrouwerij,'n Toeback,EPLPz5,Belgian-Style Pale Strong Ale,9.5,
NoDa Brewing Company,'Nother Day in Paradise,IkRF2B,Specialty Beer,,
Singlecut Beersmiths,'Ol Blackie IPA,pxM9nM,American-Style Black Ale,6.6,76
Isley Brewing Company,'Scott's Addition' India Pale Ale,BjmFMX,American-Style India Pale Ale,7.5,90
Brouwerij Smisje,'t Smisje Kirst,i51yaD,Belgian-Style Dark Strong Ale,11,
Isley Brewing Company,'The Bribe' Oatmeal Porter,ZQ3RD6,Brown Porter,6.6,19
NoDa Brewing Company,'tis the Saison,qbRV90,French & Belgian-Style Saison,7.2,30
